time_ms,adc,status,overruns,buttons
359836,405
359838,407
359840,407
359842,406
359844,403
359846,398
359848,394
359850,393
359852,393
359854,392
359856,392
359858,390
359860,389
359862,387
359864,385
359866,380
359868,375
359870,368
359872,357
359874,347
359876,335
359878,325
359880,316
359882,311
359884,305
359886,301
359888,300
359890,299
359892,299
359894,299
359896,298
359898,296
359900,292
359902,288
359904,284
359906,281
359908,277
359910,276
359912,278
359914,282
359916,289
359918,292
359920,295
359922,297
359924,298
359926,298
359928,300
359930,301
359932,301
359934,302
359936,303
359938,303
359940,304
359942,303
359944,302
359946,302
359948,302
359950,303
359952,302
359954,304
359956,304
359958,305
359960,307
359962,310
359964,313
359966,313
359968,316
359970,310
359972,310
359974,309
359976,307
359978,306
359980,304
359982,302
359984,301
359986,301
359988,302
359990,303
359992,304
359994,304
359996,305
359998,302
360000,297
360002,290
360004,281
360006,271
360008,261
360010,257
360012,260
360014,267
360016,280
360018,305
360020,340
360022,389
360024,451
360026,523
360028,599
360030,643
360032,645
360034,646
360036,645
360038,646
360040,645
360042,644
360044,643
360046,598
360048,477
360050,336
360052,208
360054,106
360056,48
360058,25
360060,32
360062,65
360064,101
360066,139
360068,170
360070,191
360072,207
360074,216
360076,221
360078,226
360080,229
360082,231
360084,235
360086,239
360088,244
360090,249
360092,251
360094,253
360096,251
360098,251
360100,251
360102,251
360104,252
360106,254
360108,257
360110,258
360112,260
360114,262
360116,262
360118,262
360120,262
360122,262
360124,260
360126,261
360128,263
360130,266
360132,267
360134,266
360136,269
360138,268
360140,268
360142,269
360144,270
360146,272
360148,276
360150,280
360152,286
360154,295
360156,303
360158,310
360160,314
360162,320
360164,323
360166,327
360168,333
360170,336
360172,341
360174,347
360176,352
360178,357
360180,359
360182,361
360184,362
360186,362
360188,362
360190,361
360192,360
360194,358
360196,357
360198,354
360200,352
360202,350
360204,351
360206,350
360208,350
360210,349
360212,347
360214,344
360216,338
360218,332
360220,326
360222,321
360224,318
360226,313
360228,311
360230,313
360232,311
360234,309
360236,305
360238,301
360240,298
360242,295
360244,296
360246,295
360248,294
360250,292
360252,291
360254,288
360256,285
360258,285
360260,283
360262,282
360264,280
360266,280
360268,279
360270,281
360272,284
360274,291
360276,297
360278,300
360280,303
360282,303
360284,301
360286,296
360288,292
360290,289
360292,289
360294,287
360296,286
360298,288
360300,290
360302,292
360304,299
360306,311
360308,328
360310,345
360312,371
360314,403
360316,444
360318,492
360320,547
360322,607
360324,644
360326,644
360328,645
360330,646
360332,646
360334,645
360336,644
360338,638
360340,556
360342,424
360344,285
360346,171
360348,92
360350,48
360352,37
360354,48
360356,74
360358,106
360360,139
360362,169
360364,191
360366,207
360368,215
360370,224
360372,229
360374,233
360376,235
360378,238
360380,238
360382,238
360384,239
360386,238
360388,239
360390,242
360392,249
360394,261
360396,260
360398,264
360400,267
360402,268
360404,269
360406,270
360408,269
360410,270
360412,271
360414,272
360416,275
360418,277
360420,279
360422,279
360424,279
360426,279
360428,281
360430,281
360432,281
360434,282
360436,281
360438,279
360440,279
360442,281
360444,281
360446,285
